"Name","State","Notes","User","Tags","Created","Runtime","Sweep","layer_structure","sample_size","seed","epoch","test_acc","test_loss","train_loss","trainer/global_step","valid_acc","valid_loss"
"sample_55000","finished","-","","","2025-07-09T14:14:30.000Z","401","","128","55000","42","15","0.28279998898506165","2.194385528564453","2.206721544265747","12900","0.2840000092983246","2.19627046585083"
"sample_30000","finished","-","","","2025-07-09T14:10:24.000Z","240","","128","30000","42","15","0.13230000436306","2.2874491214752197","2.29518985748291","7035","0.13019999861717224","2.2877962589263916"
"sample_8500","finished","-","","","2025-07-09T14:08:39.000Z","100","","128","8500","42","15","0.1256999969482422","2.2989203929901123","2.298607349395752","1995","0.12300000339746477","2.299241304397583"
"sample_500","finished","-","","","2025-07-09T14:07:46.000Z","48","","128","500","42","15","0.10170000046491624","2.3017640113830566","2.3104357719421387","120","0.09780000150203703","2.3022921085357666"
"sample_55000","finished","-","","","2025-07-09T14:00:59.000Z","402","","64","55000","42","15","0.3792000114917755","2.2435555458068848","2.2560293674468994","12900","0.3905999958515167","2.2435693740844727"
"sample_30000","finished","-","","","2025-07-09T13:57:03.000Z","231","","64","30000","42","15","0.11509999632835388","2.292563199996948","2.2968311309814453","7035","0.11219999939203262","2.2920520305633545"
"sample_8500","finished","-","","","2025-07-09T13:55:20.000Z","98","","64","8500","42","15","0.10100000351667404","2.301795244216919","2.3029472827911377","1995","0.10620000213384628","2.3006107807159424"
"sample_500","finished","-","","","2025-07-09T13:54:29.000Z","45","","64","500","42","15","0.10090000182390212","2.3047773838043213","2.298929452896118","120","0.10660000145435332","2.3034377098083496"
"sample_55000","finished","-","","","2025-07-09T13:47:59.000Z","384","","32","55000","42","15","0.29269999265670776","2.2378108501434326","2.251193046569824","12900","0.27480000257492065","2.237454891204834"
"sample_30000","finished","-","","","2025-07-09T13:44:10.000Z","223","","32","30000","42","15","0.12039999663829803","2.2921760082244873","2.2930006980895996","7035","0.11739999800920486","2.2920162677764893"
"sample_8500","finished","-","","","2025-07-09T13:42:28.000Z","97","","32","8500","42","15","0.09799999743700027","2.301279306411743","2.3126676082611084","1995","0.09640000015497208","2.3011045455932617"
