"Name","State","Notes","User","Tags","Created","Runtime","Sweep","layer_structure","sample_size","seed","epoch","test_acc","test_loss","train_loss","trainer/global_step","valid_acc","valid_loss"
"sample_55000","finished","-","","","2025-07-17T22:38:26.000Z","709","","512","55000","42","20","0.8586999773979187","0.5010590553283691","0.45564723014831543","17200","0.8446000218391418","0.5277802348136902"
"sample_47000","finished","-","","","2025-07-17T22:28:06.000Z","615","","512","47000","42","20","0.8324000239372253","0.6001944541931152","0.730942964553833","14700","0.8230000138282776","0.6242112517356873"
"sample_40000","finished","-","","","2025-07-17T22:19:06.000Z","534","","512","40000","42","20","0.7944999933242798","0.7617993354797363","0.6877850890159607","12500","0.7875999808311462","0.7832035422325134"
"sample_32000","finished","-","","","2025-07-17T22:11:27.000Z","453","","512","32000","42","20","0.7160999774932861","1.188056230545044","1.182049036026001","10000","0.7121999859809875","1.2047966718673706"
"sample_25000","finished","-","","","2025-07-17T22:05:08.000Z","374","","512","25000","42","20","0.5803999900817871","1.835395336151123","1.7487401962280271","7820","0.5806000232696533","1.8429070711135864"
"sample_12000","finished","-","","","2025-07-17T22:01:26.000Z","217","","512","12000","42","20","0.4652999937534332","2.253391742706299","2.259974718093872","3760","0.46540001034736633","2.253690004348755"
"sample_8000","finished","-","","","2025-07-17T21:58:31.000Z","170","","512","8000","42","20","0.35519999265670776","2.2768075466156006","2.277015209197998","2500","0.3675999939441681","2.276793956756592"
"sample_55000","finished","-","","","2025-07-17T21:48:36.000Z","589","","256","55000","42","20","0.8416000008583069","0.5534268617630005","0.5197654366493225","17200","0.8321999907493591","0.5789348483085632"
"sample_47000","finished","-","","","2025-07-17T21:39:57.000Z","514","","256","47000","42","20","0.8100000023841858","0.6670993566513062","0.769957959651947","14700","0.7975999712944031","0.6902404427528381"
"sample_40000","finished","-","","","2025-07-17T21:32:32.000Z","440","","256","40000","42","20","0.763700008392334","0.8464720845222473","0.7447347640991211","12500","0.7562000155448914","0.8678361177444458"
"sample_32000","finished","-","","","2025-07-17T21:26:19.000Z","367","","256","32000","42","20","0.6664999723434448","1.3468400239944458","1.3351809978485107","10000","0.6686000227928162","1.3596208095550537"
"sample_25000","finished","-","","","2025-07-17T21:21:11.000Z","303","","256","25000","42","20","0.5879999995231628","1.9622548818588257","1.9225642681121824","7820","0.5898000001907349","1.9680248498916624"
"sample_12000","finished","-","","","2025-07-17T21:18:06.000Z","179","","256","12000","42","20","0.45339998602867126","2.2602322101593018","2.2651820182800293","3760","0.44359999895095825","2.2613589763641357"
"sample_8000","finished","-","","","2025-07-17T21:15:40.000Z","141","","256","8000","42","20","0.2892000079154968","2.2794508934020996","2.2796292304992676","2500","0.28139999508857727","2.2804982662200928"
"sample_55000","finished","-","","","2025-07-17T21:06:31.000Z","543","","128","55000","42","20","0.8324000239372253","0.5885758399963379","0.5926285982131958","17200","0.8180000185966492","0.6146346926689148"
"sample_47000","finished","-","","","2025-07-17T20:58:24.000Z","482","","128","47000","42","20","0.7817000150680542","0.7502195835113525","0.7942621111869812","14700","0.7712000012397766","0.77425217628479"
"sample_40000","finished","-","","","2025-07-17T20:51:20.000Z","418","","128","40000","42","20","0.7117000222206116","1.0302246809005735","0.9295542240142822","12500","0.7107999920845032","1.049588918685913"
"sample_32000","finished","-","","","2025-07-17T20:45:24.000Z","350","","128","32000","42","20","0.5662999749183655","1.6657347679138184","1.635109305381775","10000","0.5658000111579895","1.676285982131958"
"sample_25000","finished","-","","","2025-07-17T20:39:57.000Z","322","","128","25000","42","20","0.5493999719619751","2.1150965690612793","2.0838029384613037","7820","0.5515999794006348","2.1190829277038574"
"sample_12000","finished","-","","","2025-07-17T20:37:02.000Z","170","","128","12000","42","20","0.196600005030632","2.2750232219696045","2.2740602493286133","3760","0.19059999287128448","2.2759861946105957"
"sample_8000","finished","-","","","2025-07-17T20:34:40.000Z","137","","128","8000","42","20","0.10329999774694444","2.28764271736145","2.2872872352600098","2500","0.09619999676942824","2.288738965988159"
"sample_55000","finished","-","","","2025-07-17T20:25:52.000Z","523","","64","55000","42","20","0.8036999702453613","0.6574640870094299","0.7199992537498474","17200","0.7825999855995178","0.696202278137207"
"sample_47000","finished","-","","","2025-07-17T20:18:06.000Z","460","","64","47000","42","20","0.7524999976158142","0.8140347599983215","0.8629798889160156","14700","0.7382000088691711","0.85036301612854"
"sample_40000","finished","-","","","2025-07-17T20:11:22.000Z","398","","64","40000","42","20","0.6656000018119812","1.0718151330947876","1.0187283754348757","12500","0.6588000059127808","1.1007574796676636"
"sample_32000","finished","-","","","2025-07-17T20:05:42.000Z","334","","64","32000","42","20","0.48750001192092896","1.6242705583572388","1.6080330610275269","10000","0.4934000074863434","1.6397414207458496"
"sample_25000","finished","-","","","2025-07-17T20:01:01.000Z","276","","64","25000","42","20","0.3804999887943268","2.05307936668396","2.017523288726806","7820","0.38420000672340393","2.059356451034546"
"sample_12000","finished","-","","","2025-07-17T19:58:11.000Z","164","","64","12000","42","20","0.3587999939918518","2.2627434730529785","2.263234853744507","3760","0.36340001225471497","2.2632124423980713"
"sample_8000","finished","-","","","2025-07-17T19:55:57.000Z","128","","64","8000","42","20","0.26919999718666077","2.2804977893829346","2.2776472568511963","2500","0.27059999108314514","2.280698299407959"
"sample_55000","finished","-","","","2025-07-17T19:47:21.000Z","511","","32","55000","42","20","0.8276000022888184","0.6290082335472107","0.6015476584434509","17200","0.8154000043869019","0.6623022556304932"
"sample_47000","finished","-","","","2025-07-17T19:39:44.000Z","452","","32","47000","42","20","0.7897999882698059","0.8783534169197083","1.0438127517700195","14700","0.7767999768257141","0.9029821157455444"
"sample_40000","finished","-","","","2025-07-17T19:33:02.000Z","396","","32","40000","42","20","0.6608999967575073","1.4198909997940063","1.389315128326416","12500","0.6710000038146973","1.4283664226531982"
"sample_32000","finished","-","","","2025-07-17T19:27:29.000Z","327","","32","32000","42","20","0.4361000061035156","1.990788459777832","2.0091702938079834","10000","0.4424000084400177","1.9912458658218384"
