"Name","State","Notes","User","Tags","Created","Runtime","Sweep","layer_structure","sample_size","seed","epoch","test_acc","test_loss","train_loss","trainer/global_step","valid_acc","valid_loss"
"sample_55000","finished","-","","","2025-07-30T10:22:35.000Z","1256","","1024","55000","42","20","0.776199996471405","0.7618592977523804","0.7669716477394104","17200","0.7656000256538391","0.786571204662323"
"sample_47000","finished","-","","","2025-07-30T10:04:47.000Z","1067","","1024","47000","42","20","0.6866000294685364","1.2130235433578491","1.2027453184127808","14700","0.6868000030517578","1.2317192554473877"
"sample_40000","finished","-","","","2025-07-29T10:31:51.000Z","931","","1024","40000","42","20","0.5332000255584717","1.9555037021636963","1.9271519184112549","12500","0.5307999849319458","1.9626370668411257"
"sample_32000","finished","-","","","2025-07-29T10:19:08.000Z","757","","1024","32000","42","20","0.46650001406669617","2.202562093734741","2.1907992362976074","10000","0.460999995470047","2.2045018672943115"
"sample_25000","finished","-","","","2025-07-29T10:08:57.000Z","605","","1024","25000","42","20","0.3935000002384186","2.257236957550049","2.243783473968506","7820","0.38119998574256897","2.2579736709594727"
"sample_12000","finished","-","","","2025-07-29T10:03:09.000Z","342","","1024","12000","42","20","0.3190000057220459","2.289998769760132","2.295264720916748","3760","0.3197999894618988","2.290022134780884"
"sample_8000","finished","-","","","2025-07-29T09:58:45.000Z","258","","1024","8000","42","20","0.3050999939441681","2.294675350189209","2.294564962387085","2500","0.29840001463890076","2.294794797897339"
"sample_55000","finished","-","","","2025-07-29T09:38:33.000Z","1207","","1024","55000","1","20","0.7634999752044678","0.7847182154655457","1.1014560461044312","17200","0.7552000284194946","0.8055821657180786"
"sample_47000","finished","-","","","2025-07-29T09:21:15.000Z","1035","","1024","47000","1","20","0.6725999712944031","1.259379267692566","1.1959807872772217","14700","0.6589999794960022","1.2764060497283936"
"sample_40000","finished","-","","","2025-07-29T09:06:37.000Z","875","","1024","40000","1","20","0.4738999903202057","1.8831799030303955","1.8627082109451296","12500","0.47839999198913574","1.889662265777588"
"sample_32000","finished","-","","","2025-07-29T08:54:00.000Z","749","","1024","32000","1","20","0.358599990606308","2.1724157333374023","2.196585178375244","10000","0.3637999892234802","2.1751389503479004"
"sample_25000","finished","-","","","2025-07-29T08:44:36.000Z","562","","1024","25000","1","20","0.3935000002384186","2.2496869564056396","2.248708486557007","7820","0.39579999446868896","2.251070976257324"
"sample_12000","finished","-","","","2025-07-29T08:39:21.000Z","313","","1024","12000","1","20","0.22100000083446503","2.2884058952331543","2.2741217613220215","3760","0.21780000627040863","2.2886202335357666"
"sample_8000","finished","-","","","2025-07-29T08:35:27.000Z","232","","1024","8000","1","20","0.1543000042438507","2.293990135192871","2.2959351539611816","2500","0.15320000052452087","2.2941014766693115"
"sample_55000","finished","-","","","2025-07-29T08:17:06.000Z","1099","","1024","55000","0","20","0.7843000292778015","0.7163673639297485","0.7874271273612976","17200","0.7764000296592712","0.7329781651496887"
"sample_47000","finished","-","","","2025-07-29T08:01:30.000Z","934","","1024","47000","0","20","0.7213000059127808","1.0900832414627075","1.1632461547851562","14700","0.7138000130653381","1.1026235818862915"
"sample_40000","finished","-","","","2025-07-29T07:48:00.000Z","808","","1024","40000","0","20","0.5525000095367432","1.80196213722229","1.7846511602401731","12500","0.5493999719619751","1.8049414157867432"
"sample_32000","finished","-","","","2025-07-29T07:37:08.000Z","650","","1024","32000","0","20","0.4735000133514404","2.1773416996002197","2.14053726196289","10000","0.4674000144004822","2.1781327724456787"
"sample_25000","finished","-","","","2025-07-29T07:28:30.000Z","517","","1024","25000","0","20","0.36320000886917114","2.251116991043091","2.243919849395752","7820","0.3671999871730805","2.2522146701812744"
"sample_12000","finished","-","","","2025-07-29T07:23:51.000Z","277","","1024","12000","0","20","0.11630000174045564","2.2885003089904785","2.2865891456604004","3760","0.11259999871253969","2.289318084716797"
"sample_8000","finished","-","","","2025-07-29T07:20:21.000Z","208","","1024","8000","0","20","0.20960000157356265","2.2941198348999023","2.2926390171051025","2500","0.20579999685287476","2.294567346572876"
"sample_55000","finished","-","","","2025-07-18T08:59:05.000Z","684","","512","55000","42","20","0.6190999746322632","1.307178616523743","1.459503173828125","17200","0.6237999796867371","1.3219294548034668"
"sample_47000","finished","-","","","2025-07-18T08:49:35.000Z","568","","512","47000","42","20","0.4964999854564667","2.022305965423584","2.004058837890625","14700","0.4954000115394592","2.027653932571411"
"sample_40000","finished","-","","","2025-07-18T08:41:24.000Z","490","","512","40000","42","20","0.49570000171661377","2.205679178237915","2.2015509605407715","12500","0.4830000102519989","2.207493782043457"
"sample_32000","finished","-","","","2025-07-18T08:34:43.000Z","400","","512","32000","42","20","0.4498000144958496","2.260343074798584","2.257017135620117","10000","0.428600013256073","2.260970115661621"
"sample_25000","finished","-","","","2025-07-18T08:29:34.000Z","308","","512","25000","42","20","0.25440001487731934","2.2788496017456055","2.2672767639160156","7820","0.2419999986886978","2.2790253162384033"
"sample_12000","finished","-","","","2025-07-18T08:26:42.000Z","170","","512","12000","42","20","0.19750000536441803","2.2947750091552734","2.2967376708984375","3760","0.1997999995946884","2.294420003890991"
"sample_8000","finished","-","","","2025-07-18T08:24:29.000Z","131","","512","8000","42","20","0.21570000052452087","2.2974913120269775","2.299051284790039","2500","0.21660000085830688","2.2971818447113037"
"sample_55000","finished","-","","","2025-07-18T00:33:42.000Z","713","","256","55000","42","20","0.4537000060081482","1.8343578577041624","1.8751535415649416","17200","0.4544000029563904","1.84076189994812"
"sample_47000","finished","-","","","2025-07-18T00:24:09.000Z","568","","256","47000","42","20","0.3671999871730805","2.163689136505127","2.1376760005950928","14700","0.36660000681877136","2.1659016609191895"
"sample_40000","finished","-","","","2025-07-18T00:15:33.000Z","510","","256","40000","42","20","0.28760001063346863","2.242854356765747","2.2411129474639893","12500","0.2809999883174896","2.243875503540039"
"sample_32000","finished","-","","","2025-07-18T00:06:45.000Z","521","","256","32000","42","20","0.21060000360012057","2.2741997241973877","2.270714521408081","10000","0.20419999957084656","2.2746617794036865"
"sample_25000","finished","-","","","2025-07-18T00:01:03.000Z","336","","256","25000","42","20","0.1582999974489212","2.286299705505371","2.2740259170532227","7820","0.15719999372959137","2.286581754684448"
"sample_12000","finished","-","","","2025-07-17T23:57:38.000Z","200","","256","12000","42","20","0.29809999465942383","2.2978453636169434","2.305596828460694","3760","0.28060001134872437","2.298060894012451"
"sample_8000","finished","-","","","2025-07-17T23:54:58.000Z","155","","256","8000","42","20","0.21870000660419464","2.3000218868255615","2.3006751537323","2500","0.21060000360012057","2.3004469871520996"
"sample_55000","finished","-","","","2025-07-17T23:45:35.000Z","557","","128","55000","42","20","0.5210999846458435","1.5399264097213743","1.6342958211898804","17200","0.5184000134468079","1.550688624382019"
"sample_47000","finished","-","","","2025-07-17T23:37:23.000Z","486","","128","47000","42","20","0.3239000141620636","2.039057731628418","2.0119900703430176","14700","0.32499998807907104","2.0434701442718506"
"sample_40000","finished","-","","","2025-07-17T23:30:10.000Z","427","","128","40000","42","20","0.2694000005722046","2.211094617843628","2.203279495239258","12500","0.26100000739097595","2.212797164916992"
"sample_32000","finished","-","","","2025-07-17T23:23:43.000Z","382","","128","32000","42","20","0.2167000025510788","2.267555475234986","2.2621631622314453","10000","0.21240000426769257","2.268037796020508"
"sample_25000","finished","-","","","2025-07-17T23:18:43.000Z","294","","128","25000","42","20","0.15549999475479126","2.283867597579956","2.26887845993042","7820","0.15039999783039093","2.284138441085815"
"sample_12000","finished","-","","","2025-07-17T23:15:44.000Z","173","","128","12000","42","20","0.155799999833107","2.2962639331817627","2.294995069503784","3760","0.1518000066280365","2.2964107990264893"
"sample_8000","finished","-","","","2025-07-17T23:13:20.000Z","138","","128","8000","42","20","0.11829999834299088","2.2981224060058594","2.297539472579956","2500","0.11559999734163284","2.298430919647217"
"sample_55000","finished","-","","","2025-07-17T23:04:01.000Z","553","","64","55000","42","20","0.2313999980688095","1.9787373542785645","1.9883270263671875","17200","0.23739999532699585","1.9793380498886108"
"sample_47000","finished","-","","","2025-07-17T22:56:00.000Z","475","","64","47000","42","20","0.2874000072479248","2.1704139709472656","2.1563148498535156","14700","0.2874000072479248","2.171151638031006"
"sample_40000","finished","-","","","2025-07-17T22:48:56.000Z","417","","64","40000","42","20","0.3124000132083893","2.2523372173309326","2.2467551231384277","12500","0.31940001249313354","2.2523748874664307"
"sample_32000","finished","-","","","2025-07-17T22:43:17.000Z","334","","64","32000","42","20","0.156700000166893","2.2803237438201904","2.2813775539398193","10000","0.14900000393390656","2.280043840408325"
"sample_25000","finished","-","","","2025-07-17T22:38:31.000Z","281","","64","25000","42","20","0.11389999836683272","2.290349006652832","2.283132314682007","7820","0.11060000211000444","2.289815664291382"
"sample_12000","finished","-","","","2025-07-17T22:35:33.000Z","172","","64","12000","42","20","0.10100000351667404","2.299344062805176","2.300903797149658","3760","0.10620000213384628","2.298266887664795"
"sample_8000","finished","-","","","2025-07-17T22:33:02.000Z","145","","64","8000","42","20","0.10100000351667404","2.3009965419769287","2.304600954055786","2500","0.10620000213384628","2.299881935119629"
"sample_55000","finished","-","","","2025-07-17T22:23:55.000Z","541","","32","55000","42","20","0.22259999811649325","1.996380090713501","1.9541953802108765","17200","0.22540000081062317","1.99868905544281"
"sample_47000","finished","-","","","2025-07-17T22:16:11.000Z","459","","32","47000","42","20","0.2849000096321106","2.1525418758392334","2.128782033920288","14700","0.2809999883174896","2.152759075164795"
"sample_40000","finished","-","","","2025-07-17T22:09:28.000Z","398","","32","40000","42","20","0.2752000093460083","2.2456037998199463","2.2392303943634033","12500","0.2565999925136566","2.2454071044921875"
"sample_32000","finished","-","","","2025-07-17T22:03:49.000Z","333","","32","32000","42","20","0.2152000069618225","2.2793617248535156","2.271101951599121","10000","0.2046000063419342","2.279086112976074"
"sample_25000","finished","-","","","2025-07-17T21:59:00.000Z","284","","32","25000","42","20","0.16439999639987946","2.2898614406585693","2.278879165649414","7820","0.1599999964237213","2.2896010875701904"
"sample_12000","finished","-","","","2025-07-17T21:56:09.000Z","166","","32","12000","42","20","0.09799999743700027","2.2988924980163574","2.3094558715820312","3760","0.09640000015497208","2.2985758781433105"
"sample_8000","finished","-","","","2025-07-17T21:53:52.000Z","131","","32","8000","42","20","0.09799999743700027","2.3004932403564453","2.3010687828063965","2500","0.09640000015497208","2.300320625305176"
"sample_55000","finished","-","","","2025-07-17T21:45:05.000Z","522","","16","55000","42","20","0.11349999904632568","2.2981579303741455","2.3176095485687256","17200","0.1103999987244606","2.2975964546203613"
"sample_47000","finished","-","","","2025-07-17T21:37:22.000Z","457","","16","47000","42","20","0.11349999904632568","2.2994682788848877","2.2984886169433594","14700","0.1103999987244606","2.2988266944885254"
"sample_40000","finished","-","","","2025-07-17T21:30:27.000Z","410","","16","40000","42","20","0.11349999904632568","2.3005623817443848","2.3050785064697266","12500","0.1103999987244606","2.300022602081299"
"sample_32000","finished","-","","","2025-07-17T21:24:42.000Z","339","","16","32000","42","20","0.11349999904632568","2.301907777786255","2.3005595207214355","10000","0.1103999987244606","2.301276445388794"
"sample_25000","finished","-","","","2025-07-17T21:19:51.000Z","286","","16","25000","42","20","0.11389999836683272","2.3032755851745605","2.3038458824157715","7820","0.11079999804496764","2.3025224208831787"
"sample_12000","finished","-","","","2025-07-17T21:16:58.000Z","167","","16","12000","42","20","0.098300002515316","2.3076608180999756","2.2921717166900635","3760","0.09939999878406525","2.3065905570983887"
"sample_8000","finished","-","","","2025-07-17T21:14:37.000Z","135","","16","8000","42","20","0.09880000352859496","2.3092191219329834","2.3053622245788574","2500","0.10000000149011612","2.3081681728363037"
"sample_55000","finished","-","","","2025-07-17T21:05:31.000Z","541","","8","55000","42","20","0.2915000021457672","2.0839858055114746","2.056544542312622","17200","0.2824000120162964","2.088956356048584"
"sample_47000","finished","-","","","2025-07-17T20:57:30.000Z","476","","8","47000","42","20","0.30329999327659607","2.2357592582702637","2.2392539978027344","14700","0.2996000051498413","2.2375526428222656"
"sample_40000","finished","-","","","2025-07-17T20:50:45.000Z","400","","8","40000","42","20","0.11729999631643297","2.2730746269226074","2.269211530685425","12500","0.1143999993801117","2.274120092391968"
"sample_32000","finished","-","","","2025-07-17T20:45:09.000Z","330","","8","32000","42","20","0.11349999904632568","2.288000106811523","2.2833192348480225","10000","0.1103999987244606","2.288888454437256"
"sample_25000","finished","-","","","2025-07-17T20:40:01.000Z","302","","8","25000","42","20","0.11349999904632568","2.2954604625701904","2.2843778133392334","7820","0.1103999987244606","2.2961418628692627"
"sample_12000","finished","-","","","2025-07-17T20:37:09.000Z","167","","8","12000","42","20","0.09740000218153","2.3062777519226074","2.32489275932312","3760","0.10080000013113022","2.3069472312927246"
"sample_8000","finished","-","","","2025-07-17T20:34:51.000Z","133","","8","8000","42","20","0.09740000218153","2.31097674369812","2.2994563579559326","2500","0.10080000013113022","2.311875343322754"
"sample_55000","finished","-","","","2025-07-17T20:21:20.000Z","806","","512","55000","1","20","0.7099000215530396","1.000679612159729","1.2409275770187378","17200","0.699999988079071","1.0180901288986206"
"sample_47000","finished","-","","","2025-07-17T20:09:41.000Z","693","","512","47000","1","20","0.5447999835014343","1.6632704734802246","1.6231454610824585","14700","0.5411999821662903","1.6695798635482788"
"sample_40000","finished","-","","","2025-07-17T19:59:28.000Z","607","","512","40000","1","20","0.3901999890804291","2.056770086288452","2.031165599822998","12500","0.39239999651908875","2.058995246887207"
"sample_32000","finished","-","","","2025-07-17T19:51:03.000Z","499","","512","32000","1","20","0.3704000115394592","2.227545976638794","2.2405645847320557","10000","0.3691999912261963","2.2288942337036133"
"sample_25000","finished","-","","","2025-07-17T19:44:13.000Z","404","","512","25000","1","20","0.2854999899864197","2.2682158946990967","2.2665562629699707","7820","0.2784000039100647","2.268957138061523"
"sample_12000","finished","-","","","2025-07-17T19:40:03.000Z","244","","512","12000","1","20","0.11710000038146973","2.292149782180786","2.2770445346832275","3760","0.11299999803304672","2.29226016998291"
