"Name","State","Created","Runtime","layer_structure","sample_size","seed","epoch","test_acc","test_loss","train_loss","trainer/global_step","valid_acc","valid_loss"
"sample_55000","finished","2025-09-23T15:36:28.000Z","12535","1024","55000","42","274","0.9707000255584716","0.10161717236042024","0.05167992413043976","235640","0.9634000062942504","0.12266920506954192"
"sample_47000","finished","2025-09-17T10:57:38.000Z","9424","1024","47000","42","233","0.9616000056266784","0.13203835487365723","0.027709903195500377","171255","0.9552000164985656","0.1562703400850296"
"sample_40000","finished","2025-09-17T07:58:14.000Z","6109","1024","40000","42","180","0.9455000162124634","0.18804091215133667","0.31234678626060486","112500","0.9377999901771544","0.21239258348941803"
"sample_32000","finished","2025-09-17T07:12:15.000Z","2758","1024","32000","42","112","0.9146999716758728","0.29412585496902466","0.350880891084671","56000","0.9065999984741212","0.322837233543396"
"sample_25000","finished","2025-09-16T15:42:02.000Z","3708","1024","25000","42","144","0.9146000146865844","0.2953494191169739","0.2485644668340683","56304","0.9070000052452089","0.3237411379814148"
"sample_12000","finished","2025-09-16T14:45:10.000Z","3406","1024","12000","42","245","0.9041000008583068","0.33041512966156006","0.4299251139163971","46060","0.896399974822998","0.36073583364486694"
"sample_8000","finished","2025-09-16T14:33:56.000Z","672","1024","8000","42","68","0.5346999764442444","2.182758331298828","2.182532787322998","8500","0.5397999882698059","2.184877872467041"
"sample_55000","finished","2025-09-16T12:47:08.000Z","6406","512","55000","42","246","0.9609000086784364","0.13449867069721222","0.10543469339609146","211560","0.9562000036239624","0.15430393815040588"
"sample_47000","finished","2025-09-15T18:46:04.000Z","6007","512","47000","42","242","0.9549000263214112","0.15614758431911469","0.03750021755695343","177870","0.9491999745368958","0.17862068116664886"
"sample_40000","finished","2025-09-15T17:15:45.000Z","5413","512","40000","42","276","0.9531000256538392","0.1629602164030075","0.22981053590774536","172500","0.9459999799728394","0.18474940955638883"
"sample_32000","finished","2025-09-15T15:58:12.000Z","548","512","32000","42","28","0.4715999960899353","2.0164520740509033","1.9784404039382937","14000","0.4832000136375427","2.019655227661133"
"sample_25000","finished","2025-09-15T15:49:15.000Z","531","512","25000","42","36","0.4657000005245209","2.006270408630371","2.0397989749908447","14076","0.4763999879360199","2.009389162063598"
"sample_12000","finished","2025-09-15T15:39:03.000Z","606","512","12000","42","66","0.5091000199317932","2.1450600624084473","2.170837640762329","12408","0.5264000296592712","2.1459569931030273"
"sample_8000","finished","2025-09-15T15:38:09.000Z","48","512","8000","42","6","0.08020000159740448","2.301457643508911","2.2991185188293457","750","0.08100000023841858","2.301121711730957"
"sample_55000","finished","2025-09-15T15:34:15.000Z","229","256","55000","42","9","0.15360000729560852","2.2849740982055664","2.305933713912964","7740","0.15600000321865082","2.2845516204833984"
"sample_47000","finished","2025-09-15T15:30:28.000Z","222","256","47000","42","10","0.15710000693798065","2.2862348556518555","2.285547971725464","7350","0.16060000658035278","2.285747528076172"
"sample_40000","finished","2025-09-15T15:27:01.000Z","202","256","40000","42","10","0.1444000005722046","2.2894599437713623","2.288132667541504","6250","0.1462000012397766","2.2889862060546875"
"sample_32000","finished","2025-09-15T15:24:17.000Z","158","256","32000","42","11","0.16040000319480896","2.2914724349975586","2.292386531829834","5500","0.16279999911785126","2.290921211242676"
"sample_25000","finished","2025-09-15T15:21:49.000Z","142","256","25000","42","12","0.16339999437332153","2.293454885482788","2.296790361404419","4692","0.16599999368190765","2.292797088623047"
"sample_12000","finished","2025-09-15T15:11:09.000Z","634","256","12000","42","94","0.4871000051498413","2.169923782348633","2.1370983123779297","17672","0.4970000088214874","2.171409845352173"
"sample_8000","finished","2025-09-15T15:08:06.000Z","177","256","8000","42","34","0.23240000009536743","2.294757604598999","2.29457688331604","4250","0.23759999871253967","2.293938159942627"
