"Name","State","Notes","User","Tags","Created","Runtime","Sweep","layer_structure","sample_size","seed","epoch","test_acc","test_loss","train_loss","trainer/global_step","valid_acc","valid_loss"
"sample_32000","finished","-","","","2025-09-10T13:28:13.000Z","66","","8","32000","42","6","0.09740000218153","2.3088595867156982","2.2922961711883545","3000","0.10080000013113022","2.309773206710815"
"sample_12000","finished","-","","","2025-09-10T01:35:03.000Z","68","","64","12000","1","17","0.12610000371932983","2.297821283340454","2.2826716899871826","3196","0.12139999866485596","2.298670530319214"
"sample_47000","finished","-","","","2025-09-10T14:21:46.000Z","129","","128","47000","42","7","0.11349999904632568","2.293180465698242","2.290159225463867","5145","0.1103999987244606","2.2933874130249023"
"sample_25000","finished","-","","","2025-09-09T11:36:35.000Z","98","","32","25000","0","6","0.0982000008225441","2.3011069297790527","2.3012685775756836","2346","0.09600000083446504","2.302077531814575"
"sample_12000","finished","-","","","2025-09-09T11:55:13.000Z","95","","64","12000","0","10","0.11349999904632568","2.3012876510620117","2.307814836502075","1880","0.11020000278949738","2.300882339477539"
"sample_12000","finished","-","","","2025-09-10T01:44:58.000Z","54","","128","12000","1","13","0.10130000114440918","2.3009469509124756","2.294442892074585","2444","0.09019999951124193","2.301851987838745"
"sample_32000","finished","-","","","2025-09-09T11:38:18.000Z","111","","32","32000","0","6","0.0982000008225441","2.3000547885894775","2.289701223373413","3000","0.09600000083446504","2.3009777069091797"
"sample_25000","finished","-","","","2025-09-10T13:27:14.000Z","53","","8","25000","42","6","0.09740000218153","2.311694383621216","2.3114492893218994","2346","0.10080000013113022","2.3126463890075684"
"sample_12000","finished","-","","","2025-09-10T07:56:29.000Z","121","","1024","12000","1","8","0.17739999294281006","2.2974934577941895","2.2972118854522705","1504","0.1720000058412552","2.297382116317749"
"sample_55000","finished","-","","","2025-09-10T01:53:20.000Z","221","","128","55000","1","11","0.20000000298023224","2.28405237197876","2.293686628341675","9460","0.1868000030517578","2.2853310108184814"
"sample_32000","finished","-","","","2025-09-09T16:20:17.000Z","272","","1024","32000","0","8","0.17180000245571136","2.287407398223877","2.279512405395508","4000","0.17000000178813934","2.2879695892333984"
"sample_12000","finished","-","","","2025-09-10T15:17:59.000Z","3099","","1024","12000","42","226","0.9122999906539916","0.30437150597572327","0.16813570261001587","42488","0.9034000039100648","0.3318046033382416"
"sample_32000","finished","-","","","2025-09-10T08:09:52.000Z","711","","1024","32000","1","21","0.36000001430511475","2.1374800205230713","2.168936014175415","10500","0.3662000000476837","2.1406357288360596"
"sample_40000","finished","-","","","2025-09-10T08:21:45.000Z","703","","1024","40000","1","17","0.3564000129699707","2.1256582736968994","2.108700752258301","10625","0.3639999926090241","2.129014253616333"
"sample_8000","finished","-","","","2025-09-10T01:26:56.000Z","31","","32","8000","1","6","0.10279999673366548","2.305732011795044","2.3020436763763428","750","0.11100000143051147","2.304154396057129"
"sample_47000","finished","-","","","2025-09-09T12:04:37.000Z","204","","64","47000","0","7","0.11349999904632568","2.296933650970459","2.3132164478302","5145","0.11020000278949738","2.2970149517059326"
"sample_47000","finished","-","","","2025-09-10T14:37:37.000Z","177","","256","47000","42","9","0.1339000016450882","2.2904741764068604","2.2879109382629395","6615","0.1298000067472458","2.2906768321990967"
"sample_8000","finished","-","","","2025-09-10T01:17:45.000Z","30","","16","8000","1","6","0.10320000350475313","2.311830997467041","2.2982876300811768","750","0.09619999676942824","2.315446376800537"
"sample_55000","finished","-","","","2025-09-09T11:27:27.000Z","415","","16","55000","0","15","0.2851000130176544","2.0257441997528076","1.905751585960388","12900","0.29120001196861267","2.015207529067993"
"sample_47000","finished","-","","","2025-09-09T13:25:51.000Z","4598","","512","47000","0","189","0.9649999737739564","0.11809224635362624","0.09187942743301392","138915","0.9643999934196472","0.12254882603883745"
"sample_12000","finished","-","","","2025-09-10T02:17:42.000Z","90","","512","12000","1","11","0.1421000063419342","2.297123908996582","2.295628786087036","2068","0.1348000019788742","2.297112464904785"
"sample_8000","finished","-","","","2025-09-10T01:09:37.000Z","26","","8","8000","1","6","0.09740000218153","2.3266265392303467","2.299891471862793","750","0.10000000149011612","2.330537796020508"
"sample_25000","finished","-","","","2025-09-10T07:58:31.000Z","679","","1024","25000","1","25","0.36570000648498535","2.18636417388916","2.1808340549468994","9775","0.3716000020503998","2.1889476776123047"
"sample_47000","finished","-","","","2025-09-09T12:38:38.000Z","316","","256","47000","0","11","0.13009999692440033","2.2855873107910156","2.2913858890533447","8085","0.12479999661445618","2.2869043350219727"
"sample_55000","finished","-","","","2025-09-09T12:44:00.000Z","331","","256","55000","0","10","0.1378999948501587","2.2832515239715576","2.2862770557403564","8600","0.13079999387264252","2.2845280170440674"
"sample_12000","finished","-","","","2025-09-10T14:00:05.000Z","40","","64","12000","42","6","0.10100000351667404","2.3031582832336426","2.3011744022369385","1128","0.10620000213384628","2.301893949508667"
"sample_12000","finished","-","","","2025-09-09T11:01:30.000Z","46","","8","12000","0","6","0.10100000351667404","2.3229265213012695","2.3601415157318115","1128","0.1005999967455864","2.3159992694854736"
"sample_32000","finished","-","","","2025-09-10T14:02:02.000Z","78","","64","32000","42","6","0.10100000351667404","2.300159215927124","2.3075804710388184","3000","0.10620000213384628","2.299189329147339"
"sample_8000","finished","-","","","2025-09-09T12:12:03.000Z","51","","128","8000","0","6","0.11349999904632568","2.301701307296753","2.3116941452026367","750","0.11020000278949738","2.3017666339874268"
"sample_12000","finished","-","","","2025-09-10T13:50:24.000Z","42","","32","12000","42","6","0.09799999743700027","2.3027021884918213","2.3180580139160156","1128","0.09640000015497208","2.302572250366211"
"sample_40000","finished","-","","","2025-09-10T14:34:58.000Z","154","","256","40000","42","9","0.13359999656677246","2.2933216094970703","2.2931559085845947","5625","0.13040000200271606","2.2936606407165527"
"sample_32000","finished","-","","","2025-09-09T11:03:48.000Z","97","","8","32000","0","6","0.10100000351667404","2.3077802658081055","2.288077592849731","3000","0.1005999967455864","2.303684949874878"
"sample_12000","finished","-","","","2025-09-09T12:28:06.000Z","81","","256","12000","0","6","0.10610000044107436","2.3018836975097656","2.297510862350464","1128","0.10760000348091124","2.3025271892547607"
"sample_47000","finished","-","","","2025-09-10T07:49:29.000Z","162","","512","47000","1","7","0.14810000360012054","2.2867870330810547","2.2850656509399414","5145","0.14339999854564667","2.287137031555176"
"sample_55000","finished","-","","","2025-09-09T12:08:06.000Z","232","","64","55000","0","7","0.11349999904632568","2.295464515686035","2.290311574935913","6020","0.11020000278949738","2.2956085205078125"
"sample_47000","finished","-","","","2025-09-10T07:37:03.000Z","146","","512","47000","1","7","0.14810000360012054","2.2867870330810547","2.2850656509399414","5145","0.14339999854564667","2.287137031555176"
"sample_47000","finished","-","","","2025-09-09T11:07:32.000Z","136","","8","47000","0","6","0.10100000351667404","2.300817489624023","2.318251609802246","4410","0.1005999967455864","2.2981255054473877"
"sample_8000","finished","-","","","2025-09-10T01:33:52.000Z","66","","64","8000","1","21","0.1404999941587448","2.298733711242676","2.311666488647461","2625","0.1371999979019165","2.2996859550476074"
"sample_40000","finished","-","","","2025-09-09T12:59:28.000Z","352","","512","40000","0","11","0.19930000603199005","2.2845048904418945","2.2877917289733887","6875","0.18320000171661377","2.2853360176086426"
"sample_8000","finished","-","","","2025-09-09T12:27:03.000Z","57","","256","8000","0","6","0.1031000018119812","2.302717685699463","2.2918851375579834","750","0.10279999673366548","2.303229570388794"
"sample_55000","finished","-","","","2025-09-10T15:10:07.000Z","233","","512","55000","42","8","0.2029000073671341","2.2837650775909424","2.30289626121521","6880","0.18960000574588776","2.283782720565796"
"sample_25000","finished","-","","","2025-09-09T12:14:11.000Z","105","","128","25000","0","6","0.11349999904632568","2.2984580993652344","2.296450138092041","2346","0.11020000278949738","2.298870801925659"
"sample_55000","finished","-","","","2025-09-10T02:12:43.000Z","199","","256","55000","1","9","0.1754000037908554","2.2854037284851074","2.3041646480560303","7740","0.1695999950170517","2.2859957218170166"
"sample_55000","finished","-","","","2025-09-10T14:10:00.000Z","219","","64","55000","42","11","0.12610000371932983","2.28336238861084","2.2968194484710693","9460","0.12219999730587006","2.282931327819824"
"sample_12000","finished","-","","","2025-09-09T12:12:59.000Z","66","","128","12000","0","6","0.11349999904632568","2.300947666168213","2.2821154594421387","1128","0.11020000278949738","2.301159381866455"
"sample_12000","finished","-","","","2025-09-10T13:26:35.000Z","34","","8","12000","42","6","0.09740000218153","2.3175394535064697","2.349489212036133","1128","0.10080000013113022","2.318601608276367"
"sample_25000","finished","-","","","2025-09-09T11:14:20.000Z","86","","16","25000","0","6","0.0957999974489212","2.30067777633667","2.279352903366089","2346","0.10360000282526016","2.3008618354797363"
"sample_8000","finished","-","","","2025-09-10T07:54:57.000Z","91","","1024","8000","1","8","0.148499995470047","2.29927921295166","2.299618721008301","1000","0.1446000039577484","2.2991366386413574"
"sample_55000","finished","-","","","2025-09-10T01:42:39.000Z","106","","64","55000","1","8","0.1850000023841858","2.2885782718658447","2.2988903522491455","6880","0.17560000717639923","2.2896580696105957"
"sample_25000","finished","-","","","2025-09-10T01:10:40.000Z","56","","8","25000","1","6","0.09740000218153","2.317723274230957","2.2979888916015625","2346","0.10000000149011612","2.3213095664978027"
"sample_32000","finished","-","","","2025-09-10T01:29:06.000Z","52","","32","32000","1","6","0.10279999673366548","2.301926851272583","2.2999117374420166","3000","0.11100000143051147","2.3009839057922363"
"sample_47000","finished","-","","","2025-09-10T08:33:30.000Z","725","","1024","47000","1","15","0.378600001335144","2.0884454250335693","2.1155636310577393","11025","0.3840000033378601","2.092186450958252"
"sample_40000","finished","-","","","2025-09-09T11:40:15.000Z","137","","32","40000","0","6","0.0982000008225441","2.299058675765991","2.2931582927703857","3750","0.09600000083446504","2.299955368041992"
"sample_47000","finished","-","","","2025-09-10T01:49:45.000Z","209","","128","47000","1","12","0.19449999928474423","2.286834478378296","2.291459560394287","8820","0.1852000057697296","2.2878682613372803"
"sample_25000","finished","-","","","2025-09-10T01:36:17.000Z","82","","64","25000","1","12","0.13379999995231628","2.2951276302337646","2.294605016708374","4692","0.1289999932050705","2.2960100173950195"
"sample_12000","finished","-","","","2025-09-10T14:27:13.000Z","157","","256","12000","42","24","0.27630001306533813","2.296327829360962","2.2929065227508545","4512","0.262800008058548","2.2964704036712646"
"sample_25000","finished","-","","","2025-09-09T11:02:22.000Z","81","","8","25000","0","6","0.10100000351667404","2.3119056224823","2.2872085571289062","2346","0.1005999967455864","2.3070054054260254"
"sample_12000","finished","-","","","2025-09-10T01:10:05.000Z","34","","8","12000","1","6","0.09740000218153","2.324138641357422","2.31677508354187","1128","0.10000000149011612","2.32794189453125"
"sample_8000","finished","-","","","2025-09-10T13:49:46.000Z","32","","32","8000","42","6","0.09799999743700027","2.303214311599731","2.3038642406463623","750","0.09640000015497208","2.303133010864258"
"sample_8000","finished","-","","","2025-09-10T02:16:08.000Z","88","","512","8000","1","14","0.14470000565052032","2.2980387210845947","2.3011398315429688","1750","0.1371999979019165","2.2980685234069824"
"sample_32000","finished","-","","","2025-09-10T01:47:07.000Z","70","","128","32000","1","8","0.10689999908208848","2.2984163761138916","2.297044038772583","4000","0.09640000015497208","2.2992916107177734"
"sample_55000","finished","-","","","2025-09-10T01:32:24.000Z","83","","32","55000","1","6","0.10279999673366548","2.2975807189941406","2.2990987300872803","5160","0.11100000143051147","2.297431230545044"
"sample_32000","finished","-","","","2025-09-10T16:13:50.000Z","265","","1024","32000","42","9","0.27399998903274536","2.2861592769622803","2.284538507461548","4500","0.2547999918460846","2.2864325046539307"
"sample_8000","finished","-","","","2025-09-10T14:43:43.000Z","191","","512","8000","42","31","0.2574000060558319","2.2942581176757812","2.295698404312134","3875","0.25099998712539673","2.2939870357513428"
"sample_25000","finished","-","","","2025-09-10T14:16:32.000Z","85","","128","25000","42","8","0.11349999904632568","2.297302007675171","2.289527654647827","3128","0.1103999987244606","2.2976510524749756"
"sample_55000","finished","-","","","2025-09-10T14:24:00.000Z","148","","128","55000","42","7","0.11429999768733978","2.2908287048339844","2.3079960346221924","6020","0.1111999973654747","2.2910401821136475"
"sample_12000","finished","-","","","2025-09-10T01:18:19.000Z","37","","16","12000","1","6","0.10320000350475313","2.3104982376098633","2.3261449337005615","1128","0.09619999676942824","2.313960313796997"
"sample_55000","finished","-","","","2025-09-10T20:12:00.000Z","10101","","1024","55000","42","176","0.971400022506714","0.09997113794088364","0.03032357431948185","151360","0.9646000266075134","0.11565475165843964"
"sample_40000","finished","-","","","2025-09-10T01:12:49.000Z","83","","8","40000","1","6","0.09740000218153","2.3121612071990967","2.329617500305176","3750","0.10000000149011612","2.3155360221862793"
"sample_40000","finished","-","","","2025-09-10T02:06:55.000Z","166","","256","40000","1","10","0.1581999957561493","2.2906715869903564","2.2856545448303223","6250","0.1485999971628189","2.2910470962524414"
"sample_40000","finished","-","","","2025-09-09T11:05:31.000Z","116","","8","40000","0","6","0.10100000351667404","2.3038933277130127","2.2896900177001953","3750","0.1005999967455864","2.3005456924438477"
"sample_32000","finished","-","","","2025-09-09T12:31:44.000Z","135","","256","32000","0","6","0.1046999990940094","2.2984163761138916","2.304020404815674","3000","0.10480000078678132","2.2992396354675293"
"sample_40000","finished","-","","","2025-09-10T13:41:45.000Z","91","","16","40000","42","6","0.0982000008225441","2.3071975708007812","2.3152880668640137","3750","0.09920000284910202","2.3062808513641357"
"sample_25000","finished","-","","","2025-09-10T02:01:30.000Z","148","","256","25000","1","13","0.12790000438690186","2.293545722961426","2.2885570526123047","5083","0.12219999730587006","2.2938385009765625"
"sample_40000","finished","-","","","2025-09-10T14:03:25.000Z","180","","64","40000","42","12","0.1137000024318695","2.2912213802337646","2.291612148284912","7500","0.11060000211000444","2.290700674057007"
"sample_25000","finished","-","","","2025-09-10T14:00:51.000Z","66","","64","25000","42","6","0.10100000351667404","2.301137208938598","2.29463529586792","2346","0.10620000213384628","2.3000752925872803"
"sample_40000","finished","-","","","2025-09-10T14:19:51.000Z","109","","128","40000","42","7","0.11349999904632568","2.2949488162994385","2.2995080947875977","4375","0.1103999987244606","2.2952756881713867"
"sample_40000","finished","-","","","2025-09-10T13:53:44.000Z","95","","32","40000","42","6","0.09799999743700027","2.298708200454712","2.299802780151367","3750","0.09640000015497208","2.2985854148864746"
"sample_40000","finished","-","","","2025-09-10T01:30:03.000Z","61","","32","40000","1","6","0.10279999673366548","2.3007094860076904","2.294179201126098","3750","0.11100000143051147","2.300018072128296"
"sample_32000","finished","-","","","2025-09-10T01:11:38.000Z","69","","8","32000","1","6","0.09740000218153","2.3150928020477295","2.326460838317871","3000","0.10000000149011612","2.31855845451355"
"sample_32000","finished","-","","","2025-09-10T02:21:28.000Z","127","","512","32000","1","7","0.1143999993801117","2.2929909229278564","2.2949047088623047","3500","0.11180000007152556","2.2931530475616455"
"sample_40000","finished","-","","","2025-09-09T12:18:18.000Z","151","","128","40000","0","6","0.11349999904632568","2.2954025268554688","2.3037497997283936","3750","0.11020000278949738","2.2959206104278564"
"sample_32000","finished","-","","","2025-09-09T11:15:51.000Z","103","","16","32000","0","6","0.0957999974489212","2.2979159355163574","2.296469211578369","3000","0.10360000282526016","2.2981460094451904"
"sample_47000","finished","-","","","2025-09-10T01:22:58.000Z","108","","16","47000","1","6","0.10320000350475313","2.303546190261841","2.3039402961730957","4410","0.09619999676942824","2.306107521057129"
"sample_55000","finished","-","","","2025-09-10T14:40:40.000Z","178","","256","55000","42","8","0.13670000433921814","2.2896151542663574","2.2956411838531494","6880","0.13259999454021454","2.2898411750793457"
"sample_25000","finished","-","","","2025-09-09T12:52:10.000Z","136","","512","25000","0","6","0.10109999775886536","2.298290967941284","2.30005407333374","2346","0.0966000035405159","2.298929214477539"
"sample_47000","finished","-","","","2025-09-09T12:20:54.000Z","161","","128","47000","0","6","0.11349999904632568","2.2936434745788574","2.3075287342071533","4410","0.11020000278949738","2.294262409210205"
"sample_25000","finished","-","","","2025-09-10T13:39:14.000Z","64","","16","25000","42","6","0.0982000008225441","2.309720039367676","2.2901997566223145","2346","0.09920000284910202","2.30871319770813"
"sample_47000","finished","-","","","2025-09-09T20:46:28.000Z","9164","","1024","47000","0","183","0.9689000248908995","0.10655353963375092","0.09858983755111694","134505","0.9646000266075134","0.1152440458536148"
"sample_47000","finished","-","","","2025-09-09T11:19:52.000Z","450","","16","47000","0","19","0.2957000136375427","1.972472906112671","2.0206873416900635","13965","0.29919999837875366","1.9623597860336304"
"sample_12000","finished","-","","","2025-09-09T12:50:44.000Z","81","","512","12000","0","6","0.10090000182390212","2.301079750061035","2.297748565673828","1128","0.0966000035405159","2.301619529724121"
"sample_25000","finished","-","","","2025-09-10T14:29:55.000Z","139","","256","25000","42","12","0.1315000057220459","2.295649766921997","2.2959418296813965","4692","0.12600000202655792","2.295992612838745"
"sample_25000","finished","-","","","2025-09-10T01:45:57.000Z","64","","128","25000","1","9","0.10109999775886536","2.2991161346435547","2.297492027282715","3519","0.09000000357627869","2.30001163482666"
"sample_32000","finished","-","","","2025-09-10T13:52:21.000Z","77","","32","32000","42","6","0.09799999743700027","2.2998435497283936","2.2898359298706055","3000","0.09640000015497208","2.2997372150421143"
"sample_40000","finished","-","","","2025-09-09T18:25:56.000Z","8426","","1024","40000","0","211","0.9664000272750854","0.11149925738573074","0.0857541412115097","131875","0.963599979877472","0.11738182604312895"
"sample_32000","finished","-","","","2025-09-10T13:40:23.000Z","77","","16","32000","42","6","0.0982000008225441","2.308519124984741","2.3076257705688477","3000","0.09920000284910202","2.3075578212738037"
"sample_40000","finished","-","","","2025-09-09T12:01:37.000Z","174","","64","40000","0","7","0.11349999904632568","2.2981090545654297","2.303957939147949","4375","0.11020000278949738","2.2980525493621826"
"sample_32000","finished","-","","","2025-09-10T15:00:17.000Z","179","","512","32000","42","10","0.17090000212192535","2.2910144329071045","2.2904129028320312","5000","0.1565999984741211","2.2909529209136963"
"sample_40000","finished","-","","","2025-09-10T01:48:22.000Z","78","","128","40000","1","7","0.10610000044107436","2.2978177070617676","2.296849012374878","4375","0.0949999988079071","2.2987332344055176"
"sample_8000","finished","-","","","2025-09-10T01:57:06.000Z","128","","256","8000","1","25","0.188400000333786","2.297349214553833","2.3011608123779297","3125","0.1842000037431717","2.297621726989746"
"sample_47000","finished","-","","","2025-09-10T01:40:49.000Z","104","","64","47000","1","9","0.1818999946117401","2.289710521697998","2.2888433933258057","6615","0.17839999496936798","2.2906320095062256"
"sample_55000","finished","-","","","2025-09-10T13:57:17.000Z","125","","32","55000","42","6","0.09799999743700027","2.296356439590454","2.3130943775177","5160","0.09640000015497208","2.296135663986206"
"sample_47000","finished","-","","","2025-09-10T18:05:51.000Z","7565","","1024","47000","42","163","0.9653000235557556","0.11961571127176283","0.0201246440410614","119805","0.95660001039505","0.1404835432767868"
"sample_55000","finished","-","","","2025-09-09T12:23:40.000Z","197","","128","55000","0","6","0.11349999904632568","2.2913246154785156","2.2861266136169434","5160","0.11020000278949738","2.291975498199463"
"sample_47000","finished","-","","","2025-09-10T02:09:47.000Z","171","","256","47000","1","9","0.15449999272823334","2.289557456970215","2.2876088619232178","6615","0.1449999958276749","2.2899208068847656"
"sample_40000","finished","-","","","2025-09-10T13:29:25.000Z","156","","8","40000","42","11","0.11349999904632568","2.2976956367492676","2.2973897457122803","6875","0.1103999987244606","2.2984187602996826"
