run_id,run_name,test_accuracy,sample_size,layer_structure,rank_0,rank_1,rank_2,rank_3,weight_mean_0,weight_mean_1,weight_mean_2,weight_mean_3,weight_std_0,weight_std_1,weight_std_2,weight_std_3,activation_mean_global,activation_std_global,pca_explained_var
ib2bl6iy,sample_8000,0.14419999718666077,1000,"(8, 8, 8)",8,8,8,8,0.00013346541,0.032302402,0.0036051758,-0.00615263,0.020565106,0.21843286,0.1936269,0.21005799,0.1515558362007141,0.13138756155967712,0.5285343
xx55nuv1,sample_12000,0.2240999937057495,1000,"(8, 8, 8)",8,8,8,8,0.00048858195,0.033552013,0.0039296485,-0.0061526247,0.020687765,0.21941793,0.19537367,0.21137315,0.23473511636257172,0.17348718643188477,0.6140305
8wagatc7,sample_25000,0.24809999763965607,1000,"(8, 8, 8)",8,8,8,8,0.0008363585,0.035285175,0.004247915,-0.00615253,0.02091886,0.22138254,0.19824257,0.21359704,0.32073840498924255,0.22039097547531128,0.69847023
vq6vno5i,sample_32000,0.30309998989105225,1000,"(8, 8, 8)",8,8,8,8,0.0008242132,0.035240628,0.004257299,-0.006152518,0.02090245,0.22123247,0.19809145,0.21351695,0.31810861825942993,0.21768313646316528,0.6994241
05anfl9v,sample_40000,0.40540000796318054,1000,"(8, 8, 8)",8,8,8,8,0.0035063138,0.055210575,0.009392427,-0.006152534,0.024885498,0.25740483,0.24256057,0.24844041,0.9842097759246826,0.593155562877655,0.7772119
xg7k5jk2,sample_47000,0.4587000012397766,1000,"(8, 8, 8)",8,8,8,8,0.004754742,0.06677127,0.013193274,-0.006152508,0.027213579,0.2790339,0.2686711,0.27026862,1.2923235893249512,0.7679365873336792,0.7602857
fjzdtqn6,sample_55000,0.5509999990463257,1000,"(8, 8, 8)",8,8,8,8,0.006287855,0.08365683,0.022076556,-0.0061523886,0.030471733,0.30924147,0.30481526,0.30136052,1.7028584480285645,0.9749772548675537,0.7323929
ahxn03zg,sample_8000,0.08560000360012054,1000,"(16, 16, 16)",16,16,16,10,0.000115092575,0.00064974884,-0.0038317034,0.011228234,0.020610278,0.15073901,0.14524682,0.14816631,0.08061428368091583,0.09021065384149551,0.35388264
m8jgykhz,sample_12000,0.21080000698566437,1000,"(16, 16, 16)",16,16,16,10,0.0005298258,0.0016409345,-0.0037021535,0.011228284,0.020834874,0.15231238,0.14718638,0.15039618,0.20418208837509155,0.16314229369163513,0.62738466
y6btrsqj,sample_25000,0.30000001192092896,1000,"(16, 16, 16)",16,16,16,10,0.0012411089,0.0073570986,0.0016149463,0.011228316,0.021875314,0.15943305,0.1557204,0.16417621,0.4457176923751831,0.30642348527908325,0.78287244
