run_id,run_name,sample_size,layer_structure,rank_0,rank_1,rank_2,rank_3,weight_mean_0,weight_mean_1,weight_mean_2,weight_mean_3,weight_std_0,weight_std_1,weight_std_2,weight_std_3,activation_mean_global,activation_std_global,pca_explained_var
sq1w9all,sample_8000,1000,"(8, 8, 8)",8,8,8,8,-0.00021307249,0.031678382,0.003425533,-0.0061527407,0.020509018,0.21801873,0.19264951,0.20933585,0.0811116024851799,0.09771135449409485,0.50630885
nw6799xa,sample_12000,1000,"(8, 8, 8)",8,8,8,8,-0.0002021848,0.031684786,0.0034086034,-0.006152735,0.020509735,0.21802399,0.19266091,0.20934267,0.08335588872432709,0.09846607595682144,0.5125527
8f7di9zx,sample_25000,1000,"(8, 8, 8)",8,8,8,8,0.0008363585,0.035285175,0.004247915,-0.00615253,0.02091886,0.22138254,0.19824257,0.21359704,0.32073837518692017,0.22039097547531128,0.69847023
m587e5xz,sample_32000,1000,"(8, 8, 8)",8,8,8,8,0.000824213,0.03524063,0.004257297,-0.006152518,0.02090245,0.22123249,0.19809145,0.21351695,0.31810858845710754,0.21768315136432648,0.6994241
r38v424y,sample_40000,1000,"(8, 8, 8)",8,8,8,8,0.0006774148,0.034459032,0.004156906,-0.006152595,0.020793831,0.22030193,0.19682056,0.21253549,0.28242939710617065,0.1971963793039322,0.67564356
xym6c86b,sample_47000,1000,"(8, 8, 8)",8,8,8,8,0.00068920234,0.03451901,0.004132921,-0.006152564,0.020801561,0.22036798,0.19688131,0.21256366,0.28532320261001587,0.19871696829795837,0.67700666
qli827ti,sample_55000,1000,"(8, 8, 8)",8,8,8,8,0.0008861216,0.035649043,0.004313806,-0.0061524985,0.020951854,0.22164653,0.19866434,0.21395208,0.33317744731903076,0.22549612820148468,0.709856
2mqr16nb,sample_8000,1000,"(16, 16, 16)",16,16,16,10,0.000115092575,0.0006497493,-0.0038317034,0.011228234,0.020610278,0.15073901,0.14524682,0.14816631,0.08061428368091583,0.09021065384149551,0.3538826
02uiyaen,sample_12000,1000,"(16, 16, 16)",16,16,16,10,0.00011576717,0.00064867013,-0.0038474123,0.011228235,0.020611532,0.15074776,0.14525352,0.14815417,0.08133856952190399,0.09066780656576157,0.35882223
h444xstc,sample_25000,1000,"(16, 16, 16)",16,16,16,10,0.0036713055,0.048899584,0.03980148,0.011229204,0.03962274,0.2780762,0.27899095,0.3413742,1.3218410015106201,0.9576431512832642,0.51006436
lgau8mv3,sample_32000,1000,"(16, 16, 16)",16,16,16,10,0.0031815597,0.048586767,0.039231163,0.011228858,0.040123604,0.28128573,0.28212517,0.34550273,1.244284749031067,0.9393105506896973,0.5207719
wr6sb0yj,sample_40000,1000,"(16, 16, 16)",16,16,16,10,0.0027164104,0.047925115,0.040690586,0.011229622,0.044283096,0.3100075,0.3100821,0.3830737,1.1951053142547607,0.9236243963241577,0.5374896
elz24xkz,sample_47000,1000,"(16, 16, 16)",16,16,16,10,0.0030786293,0.047112834,0.03972448,0.011229204,0.0411944,0.28898662,0.2893436,0.3556251,1.2584412097930908,0.9392373561859131,0.5287235
ayk30ccf,sample_55000,1000,"(16, 16, 16)",16,16,16,10,0.0026463796,0.04857754,0.041673876,0.011229384,0.04472174,0.31291172,0.31300578,0.38705486,1.1768898963928223,0.9198704957962036,0.5321933
bt0a23c2,sample_8000,1000,"(32, 32, 32)",32,32,32,10,0.00012562242,0.0011410236,0.004585973,-0.00096163154,0.020595213,0.10093794,0.10083095,0.101742186,0.08009687066078186,0.0918385460972786,0.26372224
upnh1ypo,sample_12000,1000,"(32, 32, 32)",32,32,32,10,0.00012603942,0.0011439353,0.004588957,-0.0009616317,0.020595329,0.100938566,0.100832395,0.10174645,0.0800798237323761,0.09193859994411469,0.2648805
z9xpflb9,sample_25000,1000,"(32, 32, 32)",32,32,32,10,0.0010200418,0.002884328,0.006043124,-0.00096161105,0.02090585,0.10259623,0.102539726,0.10791754,0.2804996371269226,0.20840919017791748,0.6529432
039xtmpd,sample_32000,1000,"(32, 32, 32)",32,32,32,10,0.0010349004,0.002929929,0.006078711,-0.00096160884,0.020913133,0.10263511,0.10258211,0.1080408,0.28364765644073486,0.21022140979766846,0.6561251
kv0g0sjj,sample_40000,1000,"(32, 32, 32)",32,32,32,10,0.0033209748,0.027366035,0.026037246,-0.0009598512,0.034092855,0.16688633,0.16746506,0.26691434,1.1169145107269287,0.7386299967765808,0.4947462
pmfya4rq,sample_47000,1000,"(32, 32, 32)",32,32,32,10,0.003325704,0.027811414,0.026032396,-0.00095982925,0.034425594,0.16846575,0.169099,0.27017584,1.1135780811309814,0.7416841983795166,0.4937282
ib0ez2sx,sample_55000,1000,"(32, 32, 32)",32,32,32,10,0.003107789,0.02754433,0.026251506,-0.00095968286,0.034508742,0.16880177,0.16935927,0.27082703,1.0758363008499146,0.737626314163208,0.4821158
