run_id,run_name,test_accuracy,sample_size,layer_structure,temp,rank_0,rank_1,rank_2,rank_3,rank_4,weight_mean_0,weight_mean_1,weight_mean_2,weight_mean_3,weight_mean_4,weight_std_0,weight_std_1,weight_std_2,weight_std_3,weight_std_4,activation_mean_global,activation_std_global,pca_explained_var
rxr9m6vu,sample_8000,0.09799999743700027,1000,"(8, 8, 8)",8,8,8,8,8,8,-0.00031646006,-0.021039473,-0.020567343,-0.041354377,-0.017459754,0.050148074,0.20007004,0.2064137,0.20563897,0.19725333,0.18478438258171082,0.13833358883857727,0.70540607
o5joeg2u,sample_12000,0.09799999743700027,1000,"(8, 8, 8)",8,8,8,8,8,8,-0.00031646006,-0.021043543,-0.020567566,-0.041333012,-0.017459761,0.050148074,0.20007916,0.20642525,0.20565183,0.19725756,0.18482732772827148,0.13835351169109344,0.70531875
skswcdcw,sample_25000,0.17710000276565552,1000,"(8, 8, 8)",8,8,8,8,8,8,-0.00031646006,-0.022267785,-0.018594868,-0.03280452,-0.017459232,0.050148074,0.2045818,0.21283281,0.21399276,0.20434135,0.20511175692081451,0.15177106857299805,0.67251325
wtd9tzo5,sample_32000,0.17489999532699585,1000,"(8, 8, 8)",8,8,8,8,8,8,-0.00031646006,-0.02230801,-0.018474253,-0.03199046,-0.017459275,0.050148074,0.20500678,0.21338643,0.21466158,0.20506115,0.20661354064941406,0.15283066034317017,0.67612565
hqh1cno0,sample_40000,0.16349999606609344,1000,"(8, 8, 8)",8,8,8,8,8,8,-0.00031646006,-0.022347394,-0.018291667,-0.031528745,-0.017459203,0.050148074,0.20530728,0.2137968,0.21518312,0.20561591,0.2076924741268158,0.15357951819896698,0.6790832
19nm2ibu,sample_47000,0.1632000058889389,1000,"(8, 8, 8)",8,8,8,8,8,8,-0.00031646006,-0.022362411,-0.018231273,-0.03177441,-0.017459178,0.050148074,0.20521997,0.21371603,0.21506459,0.2054789,0.2074386328458786,0.15340834856033325,0.6787909
16j04ar4,sample_55000,0.16040000319480896,1000,"(8, 8, 8)",8,8,8,8,8,8,-0.00031646006,-0.022393586,-0.018132854,-0.031793702,-0.017459163,0.050148074,0.20536825,0.21387717,0.21527365,0.2056334,0.2077311873435974,0.15374541282653809,0.68027306
cqbehcwt,sample_8000,0.10369999706745148,1000,"(16, 16, 16)",16,16,16,16,16,10,0.00033452528,-0.0112588685,0.007896369,0.0014777227,0.010045388,0.049969893,0.14245631,0.14722782,0.15060776,0.14679384,0.12426292151212692,0.13091100752353668,0.57741296
eogfe0vc,sample_12000,0.1079000011086464,1000,"(16, 16, 16)",16,16,16,16,16,10,0.00033452528,-0.011257896,0.007895077,0.0014740926,0.010045388,0.049969893,0.14245728,0.1472283,0.1506058,0.14677796,0.12426169216632843,0.13091330230236053,0.577443
o68wjyk0,sample_25000,0.11349999904632568,1000,"(16, 16, 16)",16,16,16,16,16,10,0.00033452528,-0.011235494,0.007896124,0.0014539713,0.010045402,0.049969893,0.14246634,0.14723565,0.15060155,0.14667135,0.12422279268503189,0.13092443346977234,0.57819414
6lfj7b7m,sample_32000,0.11349999904632568,1000,"(16, 16, 16)",16,16,16,16,16,10,0.00033452528,-0.011234414,0.007897496,0.0014473259,0.010045396,0.049969893,0.14246692,0.14723633,0.15060005,0.14665169,0.12423433363437653,0.13092944025993347,0.5781498
