run_id,run_name,sample_size,layer_structure,temp,rank_0,rank_1,rank_2,rank_3,rank_4,weight_mean_0,weight_mean_1,weight_mean_2,weight_mean_3,weight_mean_4,weight_std_0,weight_std_1,weight_std_2,weight_std_3,weight_std_4,activation_mean_global,activation_std_global,pca_explained_var
i8zp8c38,sample_8000,1000,"(8, 8, 8)",8,8,8,8,8,8,-0.00023187578,-0.021026367,-0.02061817,-0.041349802,-0.017459754,0.020507837,0.20005624,0.20641126,0.20561422,0.19725329,0.1371355950832367,0.061653681099414825,0.8053011
mzzfu9lk,sample_12000,1000,"(8, 8, 8)",8,8,8,8,8,8,-0.00023187578,-0.021024976,-0.020642884,-0.041330695,-0.01745975,0.020507837,0.20005532,0.20641908,0.20561,0.1972554,0.1371823400259018,0.06164029613137245,0.80539495
m7l7eqt2,sample_25000,1000,"(8, 8, 8)",8,8,8,8,8,8,-0.00023187578,-0.021018775,-0.020713873,-0.041254185,-0.017459746,0.020507837,0.20005497,0.20644161,0.20560592,0.19726776,0.13731837272644043,0.06160341203212738,0.80571353
vt1e0w51,sample_32000,1000,"(8, 8, 8)",8,8,8,8,8,8,-0.00023187578,-0.020850074,-0.022431444,-0.04032216,-0.017459478,0.020507837,0.20044503,0.20714101,0.20620203,0.19796729,0.13928675651550293,0.06105198711156845,0.81363744
psry9m2z,sample_40000,1000,"(8, 8, 8)",8,8,8,8,8,8,-0.00023187578,-0.020822462,-0.022569738,-0.04021585,-0.017459486,0.020507837,0.20051418,0.20725097,0.20629306,0.19807035,0.13970333337783813,0.06106435880064964,0.8144314
h0thn0zb,sample_47000,1000,"(8, 8, 8)",8,8,8,8,8,8,-0.00023187578,-0.020829493,-0.02252293,-0.040232923,-0.017459456,0.020507837,0.20049565,0.20722108,0.20626873,0.1980402,0.13960357010364532,0.06107104942202568,0.8141649
izpjozu7,sample_55000,1000,"(8, 8, 8)",8,8,8,8,8,8,-0.00023187578,-0.020788081,-0.022704143,-0.04014141,-0.017459448,0.020507837,0.20064081,0.20738128,0.20649588,0.19818674,0.1398613154888153,0.06110186502337456,0.81531596
0pjebw05,sample_8000,1000,"(16, 16, 16)",16,16,16,16,16,10,0.00011529289,-0.011264678,0.007900321,0.0014842196,0.010045394,0.02060823,0.1424582,0.14722665,0.1506084,0.14677879,0.07564248889684677,0.041073303669691086,0.60655653
dl0qk74j,sample_12000,1000,"(16, 16, 16)",16,16,16,16,16,10,0.00011529289,-0.0112638585,0.007899929,0.0014770234,0.010045392,0.02060823,0.1424581,0.1472277,0.15060757,0.14677066,0.07566185295581818,0.041073963046073914,0.60657287
3iyro2r3,sample_25000,1000,"(16, 16, 16)",16,16,16,16,16,10,0.00011529289,-0.01127981,0.007905468,0.0014868574,0.010045408,0.02060823,0.1424711,0.14723054,0.15060782,0.14666589,0.07552459090948105,0.04110279306769371,0.6065118
2g901z4n,sample_32000,1000,"(16, 16, 16)",16,16,16,16,16,10,0.00011529289,-0.011285798,0.007901386,0.0014750559,0.010045399,0.02060823,0.14247748,0.14723349,0.15060699,0.14661896,0.0754847601056099,0.04112362861633301,0.6064782
qf8f3pop,sample_40000,1000,"(16, 16, 16)",16,16,16,16,16,10,0.00011529289,-0.011292789,0.007899432,0.001467708,0.010045407,0.02060823,0.142485,0.1472364,0.15061161,0.14660156,0.07543481141328812,0.04114952310919762,0.60641766
uuro4oif,sample_47000,1000,"(16, 16, 16)",16,16,16,16,16,10,0.00011529289,-0.011285262,0.007904075,0.0014779067,0.01004541,0.02060823,0.1424765,0.1472325,0.15061107,0.14664154,0.0754808858036995,0.04111932963132858,0.606468
8skjauw2,sample_55000,1000,"(16, 16, 16)",16,16,16,16,16,10,0.00011529289,-0.011289464,0.0079030385,0.0014786219,0.010045404,0.02060823,0.14248177,0.14723527,0.15061405,0.14663416,0.07545506954193115,0.04113733768463135,0.6064594
fi1m8ngw,sample_8000,1000,"(32, 32, 32)",32,32,32,32,32,10,0.00012518314,-7.214912e-05,-0.00028441905,-0.0009254904,-0.0073235147,0.020595042,0.1031923,0.102204956,0.098912306,0.10184861,0.05509432777762413,0.044406916946172714,0.42322627
gjex2wp2,sample_12000,1000,"(32, 32, 32)",32,32,32,32,32,10,0.00012518314,-7.150689e-05,-0.0002838777,-0.000925486,-0.0073235137,0.020595042,0.10319234,0.10220532,0.0989123,0.10185043,0.05510174483060837,0.04440756142139435,0.42322475
88h574qy,sample_25000,1000,"(32, 32, 32)",32,32,32,32,32,10,0.00012518314,-5.7886064e-05,-0.00026665116,-0.0009163481,-0.007323505,0.020595042,0.10319323,0.102212906,0.09891679,0.101898365,0.055239468812942505,0.04442092031240463,0.42336392
oxrc8xz7,sample_32000,1000,"(32, 32, 32)",32,32,32,32,32,10,0.00012518314,-5.8681122e-05,-0.0002669663,-0.00091369427,-0.0073235,0.020595042,0.10319302,0.102212526,0.09891684,0.10190189,0.05523357540369034,0.04441872984170914,0.42337674
vqp0mmim,sample_40000,1000,"(32, 32, 32)",32,32,32,32,32,10,0.00012518314,-5.4879667e-05,-0.00026084005,-0.0009149837,-0.007323501,0.020595042,0.10319366,0.10221507,0.098919265,0.101907715,0.05527292937040329,0.044426172971725464,0.42348194
gijld0km,sample_47000,1000,"(32, 32, 32)",32,32,32,32,32,10,0.00012518314,-5.1312614e-05,-0.00025639276,-0.0009139322,-0.0073235007,0.020595042,0.10319452,0.102217704,0.098921314,0.10191893,0.055315107107162476,0.044437408447265625,0.42361155
lrm1kncr,sample_55000,1000,"(32, 32, 32)",32,32,32,32,32,10,0.00012518314,-5.661536e-05,-0.00026255322,-0.0009148313,-0.007323505,0.020595042,0.103193305,0.10221406,0.09891859,0.10190167,0.055257830768823624,0.04442327469587326,0.42346022
qt3728a9,sample_8000,1000,"(64, 64, 64)",64,64,64,64,64,10,3.1529093e-05,-0.001186295,0.00039855004,0.0017568956,-0.0013199793,0.020576542,0.071822636,0.07193683,0.07262535,0.074103534,0.04537074267864227,0.044464707374572754,0.23559685
we2x9vzq,sample_12000,1000,"(64, 64, 64)",64,64,64,64,64,10,3.1529093e-05,-0.001186025,0.00039768332,0.0017527471,-0.0013199796,0.020576542,0.071821384,0.071935154,0.07262304,0.074088864,0.04530348628759384,0.044425662606954575,0.2353288
8lfp1jjj,sample_25000,1000,"(64, 64, 64)",64,64,64,64,64,10,3.1529093e-05,-0.001186132,0.00039734077,0.0017521045,-0.0013199791,0.020576542,0.07182138,0.071935154,0.072622895,0.074085794,0.04530391842126846,0.044428057968616486,0.23534304
zagpaoui,sample_32000,1000,"(64, 64, 64)",64,64,64,64,64,10,3.1529093e-05,-0.0011858088,0.00039672828,0.0017505125,-0.0013199811,0.020576542,0.071820855,0.071934454,0.072621636,0.074078955,0.04527653008699417,0.04441094398498535,0.2352452
ttab0e3q,sample_40000,1000,"(64, 64, 64)",64,64,64,64,64,10,3.1529093e-05,-0.001185849,0.0003968479,0.0017509527,-0.0013199807,0.020576542,0.07182109,0.07193483,0.07262214,0.074080214,0.045294687151908875,0.04442036896944046,0.23530462
eohxzzws,sample_47000,1000,"(64, 64, 64)",64,64,64,64,64,10,3.1529093e-05,-0.0011859322,0.00039704808,0.0017515449,-0.0013199794,0.020576542,0.07182132,0.07193511,0.072622634,0.0740827,0.045305803418159485,0.04442688822746277,0.23534857
45e4rcym,sample_55000,1000,"(64, 64, 64)",64,64,64,64,64,10,3.1529093e-05,-0.001186041,0.00039701193,0.0017518662,-0.0013199791,0.020576542,0.07182156,0.07193544,0.072623126,0.07408514,0.04531964659690857,0.04443542659282684,0.23540094
lirdeven,sample_8000,1000,"(128, 128, 128)",128,128,128,128,128,10,2.1938977e-05,0.00029749007,0.000572382,-0.00068184745,0.000883818,0.020587457,0.05107581,0.050830126,0.05086379,0.05080174,0.04465123265981674,0.04566061869263649,0.22119251
fvd9z1kl,sample_12000,1000,"(128, 128, 128)",128,128,128,128,128,10,2.1938977e-05,0.0002974747,0.000572131,-0.0006824645,0.000883818,0.020587457,0.05107574,0.050830025,0.05086369,0.050800417,0.04464295879006386,0.04565926641225815,0.22106445
1pgj35kp,sample_25000,1000,"(128, 128, 128)",128,128,128,128,128,10,2.1938977e-05,0.00029763987,0.0005697932,-0.0006940961,0.0008838231,0.020587457,0.051075127,0.050828766,0.050863337,0.050803725,0.04450931400060654,0.04566563665866852,0.21850927
ad1bmz80,sample_32000,1000,"(128, 128, 128)",128,128,128,128,128,10,2.1938977e-05,0.00029794028,0.0005700381,-0.0006961515,0.00088382454,0.020587457,0.051075496,0.050829023,0.050863933,0.050815787,0.04451688751578331,0.04568755626678467,0.21810856
f9xztmmw,sample_40000,1000,"(128, 128, 128)",128,128,128,128,128,10,2.1938977e-05,0.00029791275,0.00056968245,-0.00069617794,0.00088382734,0.020587457,0.051075485,0.050828986,0.0508639,0.050815124,0.04451305419206619,0.04568734019994736,0.21808687
057xq080,sample_47000,1000,"(128, 128, 128)",128,128,128,128,128,10,2.1938977e-05,0.0002981486,0.00057027594,-0.00069754326,0.0008838251,0.020587457,0.051075988,0.05082936,0.050864547,0.050826393,0.04452737793326378,0.04571084678173065,0.21776557
deely1zz,sample_55000,1000,"(128, 128, 128)",128,128,128,128,128,10,2.1938977e-05,0.00029789045,0.00056978443,-0.0006963607,0.0008838237,0.020587457,0.051075578,0.050829038,0.050864004,0.050816715,0.044510677456855774,0.045689407736063004,0.2180391
2m564iev,sample_8000,1000,"(256, 256, 256)",256,256,256,256,256,10,5.4883505e-05,2.9627467e-05,0.00019916809,0.00010114562,-0.00021732575,0.020617178,0.03598106,0.036125444,0.036122303,0.03629787,0.04278747737407684,0.04764797165989876,0.18081284
56zw42p3,sample_12000,1000,"(256, 256, 256)",256,256,256,256,256,10,5.4883505e-05,2.9616189e-05,0.00019911895,0.000101231606,-0.00021732548,0.020617178,0.03598105,0.036125433,0.036122292,0.036297895,0.042783163487911224,0.04764667898416519,0.18081097
q1adyigw,sample_25000,1000,"(256, 256, 256)",256,256,256,256,256,10,5.4883505e-05,2.9615723e-05,0.00019912877,0.00010125477,-0.00021732524,0.020617178,0.035981055,0.036125433,0.036122296,0.036297865,0.04278324544429779,0.04764699563384056,0.18080711
69epnum3,sample_32000,1000,"(256, 256, 256)",256,256,256,256,256,10,5.4883505e-05,2.9597271e-05,0.000199014,0.0001013295,-0.00021732524,0.020617178,0.035981037,0.03612542,0.036122296,0.03629773,0.0427752360701561,0.04764402657747269,0.1807342
o95rypwj,sample_40000,1000,"(256, 256, 256)",256,256,256,256,256,10,5.4883505e-05,2.9582938e-05,0.0001989305,0.000101451544,-0.0002173251,0.020617178,0.035981026,0.036125414,0.036122296,0.03629801,0.0427677184343338,0.04764185845851898,0.18065149
nphd9ylh,sample_47000,1000,"(256, 256, 256)",256,256,256,256,256,10,5.4883505e-05,2.9568233e-05,0.00019891627,0.00010160064,-0.00021732514,0.020617178,0.03598103,0.036125418,0.036122315,0.03629869,0.04276088625192642,0.047639816999435425,0.18059933
ooexqqe7,sample_55000,1000,"(256, 256, 256)",256,256,256,256,256,10,5.4883505e-05,2.955943e-05,0.00019887788,0.00010172246,-0.00021732491,0.020617178,0.035981033,0.03612543,0.036122352,0.036299437,0.04275716841220856,0.04763869196176529,0.1805513
qvdmcjb1,sample_8000,1000,"(512, 512, 512)",512,512,512,512,512,10,3.843752e-05,1.8228073e-05,5.9902526e-05,1.1186034e-05,0.00014829445,0.020618161,0.02552218,0.025515413,0.025487345,0.02550891,0.04434293508529663,0.04962317273020744,0.18602675
8ds2o87s,sample_12000,1000,"(512, 512, 512)",512,512,512,512,512,10,3.843752e-05,1.8231913e-05,5.9852235e-05,1.1107031e-05,0.00014829423,0.020618161,0.025522167,0.025515398,0.025487328,0.025507756,0.044339731335639954,0.04962184280157089,0.18596123
wz8et3ee,sample_25000,1000,"(512, 512, 512)",512,512,512,512,512,10,3.843752e-05,1.8251169e-05,6.028411e-05,1.1263793e-05,0.00014829438,0.020618161,0.025522213,0.025515456,0.025487399,0.025511319,0.044362928718328476,0.04963451251387596,0.18614955
r2ojimcg,sample_32000,1000,"(512, 512, 512)",512,512,512,512,512,10,3.843752e-05,1.8243112e-05,5.983791e-05,1.1269474e-05,0.00014829429,0.020618161,0.02552217,0.025515394,0.025487319,0.025507767,0.044338785111904144,0.0496230311691761,0.18591142
igm71ryq,sample_40000,1000,"(512, 512, 512)",512,512,512,512,512,10,3.843752e-05,1.8241615e-05,5.9972772e-05,1.1315527e-05,0.00014829433,0.020618161,0.025522184,0.025515418,0.025487347,0.025509352,0.044345926493406296,0.04962681233882904,0.18600115
0qx2jmn0,sample_47000,1000,"(512, 512, 512)",512,512,512,512,512,10,3.843752e-05,1.8244515e-05,6.0145252e-05,1.1325219e-05,0.00014829446,0.020618161,0.025522202,0.025515443,0.02548738,0.025510795,0.044354528188705444,0.049631331115961075,0.18609896
2fzbmikf,sample_55000,1000,"(512, 512, 512)",512,512,512,512,512,10,3.843752e-05,0.0001861663,0.0016377077,0.0013474135,0.00014869822,0.020618161,0.027422389,0.02739405,0.027410328,0.07799522,0.1557110697031021,0.11890070140361786,0.35796583
epxybpyz,sample_8000,1000,"(1024, 1024, 1024)",1024,784,1023,1024,1024,10,2.540215e-05,3.8993374e-05,0.00068175135,0.00055704423,-0.00027148475,0.020614367,0.018409122,0.018412853,0.018407455,0.042117607,0.16431854665279388,0.11377077549695969,0.40289998
7exi3fcv,sample_12000,1000,"(1024, 1024, 1024)",1024,784,1024,1023,1024,10,2.540215e-05,1.7404594e-05,8.049573e-05,5.945704e-05,-0.0002715304,0.020614367,0.018051755,0.018063717,0.018049033,0.019433508,0.05748169124126434,0.05684863030910492,0.26596755
5e9gqj0q,sample_25000,1000,"(1024, 1024, 1024)",1024,784,1024,1024,1023,10,2.540215e-05,2.188225e-05,0.0007145188,0.00060401886,-0.00027137558,0.020614367,0.018611342,0.018613307,0.01860785,0.050409812,0.14965835213661194,0.11386638879776001,0.3395385
x63897e1,sample_32000,1000,"(1024, 1024, 1024)",1024,784,1024,1024,1024,10,2.540215e-05,2.3395243e-05,0.00070552056,0.00059474754,-0.00027138437,0.020614367,0.018582337,0.01858473,0.018579546,0.04932877,0.150058776140213,0.11360093951225281,0.34632713
rylxdpcj,sample_40000,1000,"(1024, 1024, 1024)",1024,784,1024,1024,1023,10,2.540215e-05,1.7476304e-05,0.00071841385,0.00060713367,-0.00027136054,0.020614367,0.018636776,0.01863856,0.01863334,0.051378086,0.14738556742668152,0.1138637512922287,0.33896655
1weth7ia,sample_47000,1000,"(1024, 1024, 1024)",1024,784,1023,1023,1023,10,2.540215e-05,2.6338672e-05,0.0006991783,0.0005880618,-0.000271408,0.020614367,0.018549468,0.018552247,0.01854703,0.048046958,0.15216496586799622,0.11356424540281296,0.35766175
0sm3pgvb,sample_55000,1000,"(1024, 1024, 1024)",1024,784,1024,1023,1023,10,2.540215e-05,1.750515e-05,0.00072251604,0.00061554374,-0.0002713256,0.020614367,0.018672759,0.018674282,0.018668823,0.052688885,0.14624571800231934,0.11415398120880127,0.33453047
whg26bhz,sample_8000,1000,"(8, 8, 8)",8,8,8,8,8,8,-8.823074e-05,0.029737016,-0.06651,0.0050545754,-0.04115229,0.020612435,0.19728518,0.20557396,0.18731847,0.21160406,0.0828564390540123,0.052359748631715775,0.7904712
3ehulvcb,sample_12000,1000,"(8, 8, 8)",8,8,8,8,8,8,-8.823074e-05,0.029732184,-0.066503055,0.005047315,-0.04115229,0.020612435,0.19728751,0.2055732,0.18731877,0.21158676,0.0828453004360199,0.05236412212252617,0.79046476
138aq2w3,sample_25000,1000,"(8, 8, 8)",8,8,8,8,8,8,-8.823074e-05,0.02959801,-0.066297576,0.005030061,-0.041152306,0.020612435,0.19737154,0.20558952,0.18732388,0.2115286,0.08272814750671387,0.052499920129776,0.79051477
orj0iz29,sample_32000,1000,"(8, 8, 8)",8,8,8,8,8,8,-8.823074e-05,0.029595792,-0.06628939,0.005024424,-0.041152336,0.020612435,0.19737276,0.20558955,0.1873293,0.21150227,0.08271302282810211,0.05250280350446701,0.7905346
zjjbyndp,sample_40000,1000,"(8, 8, 8)",8,8,8,8,8,8,-8.823074e-05,0.02960568,-0.06629964,0.00504099,-0.04115229,0.020612435,0.1973669,0.20558912,0.187332,0.21153818,0.08270524442195892,0.0524856373667717,0.7905093
wz8i62oc,sample_47000,1000,"(8, 8, 8)",8,8,8,8,8,8,-8.823074e-05,0.02958019,-0.06626834,0.0050452426,-0.0411523,0.020612435,0.19738571,0.20559424,0.18732889,0.21155232,0.0827130600810051,0.052517689764499664,0.79055154
kbnylpjh,sample_55000,1000,"(8, 8, 8)",8,8,8,8,8,8,-8.823074e-05,0.029618818,-0.06632304,0.0050494736,-0.04115228,0.020612435,0.19735904,0.20558748,0.18732391,0.21156447,0.08273930847644806,0.0524774044752121,0.7905013
6a503nun,sample_8000,1000,"(16, 16, 16)",16,16,16,16,16,10,-9.473012e-05,-0.013578232,-0.010182025,-0.006113636,0.0023302957,0.020618157,0.14413285,0.14423302,0.1515728,0.13889198,0.07979483902454376,0.04588880389928818,0.5498452
hi1wsx9t,sample_12000,1000,"(16, 16, 16)",16,16,16,16,16,10,-9.473012e-05,-0.013578812,-0.010181664,-0.0061186934,0.0023302971,0.020618157,0.14413325,0.14423327,0.15157484,0.13888586,0.07979373633861542,0.04589086025953293,0.5498398
n7xsjhih,sample_25000,1000,"(16, 16, 16)",16,16,16,16,16,10,-9.473012e-05,-0.013580215,-0.010185022,-0.0061389282,0.0023303046,0.020618157,0.14413524,0.1442342,0.15157992,0.13886553,0.07978680729866028,0.045895710587501526,0.54986346
qhz05iho,sample_32000,1000,"(16, 16, 16)",16,16,16,16,16,10,-9.473012e-05,-0.013580751,-0.010186104,-0.0061466475,0.0023303083,0.020618157,0.14413624,0.14423503,0.15158282,0.13885804,0.0797889232635498,0.045899905264377594,0.54985917
15xnugsk,sample_40000,1000,"(16, 16, 16)",16,16,16,16,16,10,-9.473012e-05,-0.013581821,-0.010188988,-0.0061615733,0.0023303106,0.020618157,0.14413732,0.144236,0.1515849,0.13884623,0.07979393005371094,0.04590536653995514,0.5498595
gih9nfrx,sample_47000,1000,"(16, 16, 16)",16,16,16,16,16,10,-9.473012e-05,-0.013582495,-0.010191747,-0.006174974,0.0023303167,0.020618157,0.14413843,0.1442367,0.1515859,0.13883749,0.07979478687047958,0.04591159150004387,0.549842
xvo4113o,sample_55000,1000,"(16, 16, 16)",16,16,16,16,16,10,-9.473012e-05,-0.013583355,-0.010194746,-0.0061868764,0.0023303211,0.020618157,0.14413933,0.1442373,0.15158819,0.13882929,0.07979802787303925,0.04591788351535797,0.5498307
u151wihy,sample_8000,1000,"(32, 32, 32)",32,32,32,32,32,10,-2.2768503e-05,-0.005614565,0.0016724588,0.00028410222,-0.0014526579,0.020624597,0.10233299,0.10010859,0.101233214,0.10090652,0.054377079010009766,0.04643317312002182,0.41672868
12cynkwt,sample_12000,1000,"(32, 32, 32)",32,32,32,32,32,10,-2.2768503e-05,-0.005611467,0.0017682691,0.00029447227,-0.0014526534,0.020624597,0.102380596,0.10017176,0.1013175,0.101192385,0.05511359125375748,0.04668821394443512,0.41887164
oenm4pqh,sample_25000,1000,"(32, 32, 32)",32,32,32,32,32,10,-2.2768503e-05,-0.0056116497,0.0017320804,0.00030395837,-0.0014526623,0.020624597,0.102363676,0.10014883,0.10128897,0.10110751,0.05490046739578247,0.046625830233097076,0.41748568
