run_id,run_name,test_accuracy,sample_size,layer_structure,rank_0,rank_1,rank_2,rank_3,rank_4,weight_mean_0,weight_mean_1,weight_mean_2,weight_mean_3,weight_mean_4,weight_std_0,weight_std_1,weight_std_2,weight_std_3,weight_std_4,activation_mean_global,activation_std_global,pca_explained_var
h39qaehi,sample_8000,0.10100000351667404,1000,"(8, 8, 8, 8)",8,8,8,8,8,-0.00023293564,0.031665325,0.0034264736,-0.0006479868,-0.019871522,0.02050773,0.21801002,0.19263078,0.20404395,0.21954075,0.07735183835029602,0.09639392793178558,0.4988385
bbs6usnj,sample_12000,0.10100000351667404,1000,"(8, 8, 8, 8)",8,8,8,8,8,-0.00023305083,0.031664494,0.0034146383,-0.0006638956,-0.01987152,0.020507725,0.2180103,0.1926318,0.20403983,0.21950376,0.07736845314502716,0.09636090695858002,0.49985933
qbw71jh3,sample_25000,0.10100000351667404,1000,"(8, 8, 8, 8)",8,8,8,8,8,-0.00023196521,0.031662334,0.0033760238,-0.0006971862,-0.019871514,0.020507818,0.21801196,0.19263934,0.20403557,0.21942265,0.07782287895679474,0.09644316881895065,0.5038968
9utkhy46,sample_32000,0.10100000351667404,1000,"(8, 8, 8, 8)",8,8,8,8,8,-0.00023048333,0.031661667,0.003357742,-0.00071911095,-0.019871514,0.020507982,0.2180137,0.19264372,0.20403267,0.21937515,0.07821562141180038,0.09660680592060089,0.5053719
sr40iegc,sample_40000,0.10100000351667404,1000,"(8, 8, 8, 8)",8,8,8,8,8,-0.00022700975,0.031660527,0.0033331644,-0.0007500821,-0.019871514,0.020508384,0.21801767,0.19264665,0.20402348,0.21930909,0.07900109887123108,0.09693242609500885,0.5083339
swej1i7z,sample_47000,0.10100000351667404,1000,"(8, 8, 8, 8)",8,8,8,8,8,-0.00022355095,0.031661425,0.0033171251,-0.0007613967,-0.019871518,0.020508789,0.21802121,0.19265577,0.2040285,0.21928644,0.07980083674192429,0.09729194641113281,0.5102371
b6fmwlr0,sample_55000,0.10100000351667404,1000,"(8, 8, 8, 8)",8,8,8,8,8,-0.00021859203,0.03166388,0.0033000484,-0.0007680091,-0.01987151,0.02050941,0.21802637,0.19267029,0.20404032,0.2192761,0.0808558315038681,0.09779983013868332,0.5124429
z7zcq320,sample_8000,0.0957999974489212,1000,"(16, 16, 16, 16)",16,16,16,16,10,0.00011417637,0.0006556711,-0.0037911679,0.0070424452,-0.0009283122,0.020608181,0.15072459,0.1452419,0.14661956,0.14568156,0.07944945245981216,0.08938686549663544,0.34185797
3659yfip,sample_12000,0.0957999974489212,1000,"(16, 16, 16, 16)",16,16,16,16,10,0.00011400177,0.00065663084,-0.0037910473,0.0070393933,-0.0009283122,0.02060818,0.15072465,0.14524312,0.14661905,0.14568315,0.07944095134735107,0.08936978876590729,0.34032607
lh6bqpkg,sample_25000,0.0957999974489212,1000,"(16, 16, 16, 16)",16,16,16,16,10,0.00011436757,0.00066136196,-0.0037840668,0.007033808,-0.0009283118,0.020608414,0.15072636,0.14525074,0.14662227,0.14568579,0.07965555787086487,0.0894400030374527,0.33873332
leuwb45g,sample_32000,0.0957999974489212,1000,"(16, 16, 16, 16)",16,16,16,16,10,0.00011598762,0.00066525745,-0.003780647,0.007034288,-0.000928311,0.020608706,0.15072845,0.14525655,0.14662525,0.14569224,0.08004507422447205,0.08962353318929672,0.33898652
392ohiqt,sample_40000,0.0957999974489212,1000,"(16, 16, 16, 16)",16,16,16,16,10,0.000117759526,0.0006692966,-0.0037729905,0.0070405276,-0.00092830916,0.020609098,0.15073119,0.14526352,0.14662999,0.14570375,0.08053559809923172,0.08986243605613708,0.33991826
gxtu4i3u,sample_47000,0.2957000136375427,1000,"(16, 16, 16, 16)",16,16,16,16,10,0.0013151244,0.003971487,0.00044101913,0.00939615,-0.0009283155,0.021210052,0.1550425,0.15042835,0.1522417,0.15653376,0.37808457016944885,0.23418977856636047,0.802014
1bsoj9v3,sample_55000,0.2851000130176544,1000,"(16, 16, 16, 16)",16,16,16,16,10,0.0009519133,0.0024812757,-0.0011453612,0.007739867,-0.0009282265,0.020945882,0.15315215,0.14824098,0.14992748,0.15176539,0.28774964809417725,0.18942812085151672,0.7319344
le21w5gi,sample_8000,0.0982000008225441,1000,"(32, 32, 32, 32)",32,32,32,32,10,0.00012430949,0.00113529,0.004581504,0.005550175,0.0021843906,0.020595059,0.100937046,0.100828946,0.10176093,0.102834396,0.08004544675350189,0.09160605818033218,0.26221645
mobp7946,sample_12000,0.0982000008225441,1000,"(32, 32, 32, 32)",32,32,32,32,10,0.00012394403,0.0011345254,0.004580936,0.0055457884,0.002184391,0.02059508,0.10093712,0.10082879,0.10176043,0.102829576,0.0800098329782486,0.09156245738267899,0.2623642
scuobly8,sample_25000,0.0982000008225441,1000,"(32, 32, 32, 32)",32,32,32,32,10,0.00012295127,0.0011331004,0.004579854,0.0055364757,0.002184394,0.020595169,0.1009375,0.10082884,0.101759374,0.10281632,0.0799095630645752,0.091448113322258,0.2631308
2bx7aqnt,sample_32000,0.0982000008225441,1000,"(32, 32, 32, 32)",32,32,32,32,10,0.00012277474,0.0011329111,0.0045802523,0.0055321367,0.0021843952,0.020595247,0.10093786,0.100829124,0.10175946,0.10280985,0.07992421835660934,0.09142860770225525,0.26371306
8jba3cbl,sample_40000,0.0982000008225441,1000,"(32, 32, 32, 32)",32,32,32,32,10,0.00012258114,0.0011325656,0.0045800232,0.0055282684,0.002184398,0.020595344,0.100938335,0.10082959,0.101759404,0.10280676,0.07995773106813431,0.09141235053539276,0.26430753
bo6j9ivc,sample_47000,0.1339000016450882,1000,"(32, 32, 32, 32)",32,32,32,32,10,0.00017334476,0.0011791714,0.0046013007,0.0055604223,0.0021845018,0.020609803,0.10101205,0.100903355,0.101826556,0.10294235,0.09353361278772354,0.09806963801383972,0.32820055
da3buuu6,sample_55000,0.12870000302791595,1000,"(32, 32, 32, 32)",32,32,32,32,10,0.00017098215,0.0011770858,0.004602543,0.0055615082,0.002184489,0.020609237,0.101009145,0.10090003,0.101824634,0.10293009,0.09291946887969971,0.09775762259960175,0.3268133
chgvlhzg,sample_8000,0.11349999904632568,1000,"(64, 64, 64, 64)",64,64,64,64,10,2.7669143e-05,0.0016975887,-0.0010457914,-0.00035219628,-0.0032031438,0.020576159,0.072000496,0.07124102,0.071675114,0.07169898,0.078192338347435,0.08569850772619247,0.21236446
0wsrmzgi,sample_12000,0.11349999904632568,1000,"(64, 64, 64, 64)",64,64,64,64,10,2.8397226e-05,0.0016965554,-0.0010448591,-0.00035496856,-0.0032031448,0.020576198,0.07200062,0.07124091,0.071675226,0.071695566,0.07825297117233276,0.0857655331492424,0.21226977
zbllo21k,sample_25000,0.11349999904632568,1000,"(64, 64, 64, 64)",64,64,64,64,10,2.7691842e-05,0.0016972363,-0.0010459402,-0.00035150256,-0.0032031438,0.020576162,0.07200062,0.07124112,0.07167498,0.07169925,0.07834011316299438,0.08569346368312836,0.21223466
1wfckz2b,sample_32000,0.11349999904632568,1000,"(64, 64, 64, 64)",64,64,64,64,10,2.7785241e-05,0.0016961747,-0.0010443139,-0.0003511252,-0.003203141,0.020576127,0.07200046,0.071240865,0.071675226,0.07170248,0.07825355976819992,0.08570736646652222,0.21178806
8b1afm32,sample_40000,0.11349999904632568,1000,"(64, 64, 64, 64)",64,64,64,64,10,2.7742588e-05,0.0016964419,-0.0010453041,-0.00034991128,-0.0032031399,0.020576155,0.072000645,0.071241125,0.07167529,0.07170437,0.07839420437812805,0.08570128679275513,0.212259
zzm97ztp,sample_47000,0.11349999904632568,1000,"(64, 64, 64, 64)",64,64,64,64,10,2.7971737e-05,0.0016972979,-0.001046109,-0.00034862888,-0.00320314,0.020576224,0.07200093,0.07124152,0.071675375,0.07170667,0.07854632288217545,0.0857294499874115,0.21269539
